ID,INV,DATE,CATALOG,PCODE,QTY,CUSTNUM
63,243374,1998-04-21,Collectibles,CC1100,1,1299.0
64,243374,1998-04-21,Collectibles,CC3300,2,13.0
65,243374,1998-04-21,Collectibles,CC3500,3,130.0
66,243374,1998-04-21,Collectibles,CC3500,1,1300.0
67,243376,1998-04-21,Pets,PT2300,2,1301.0
68,243376,1998-04-21,Pets,PT3100,2,1302.0
69,243376,1998-04-21,Pets,PT3200,1,1303.0
70,243376,1998-04-21,Pets,PT3200,2,1304.0
71,190557,1998-05-20,Toys,TY1300,1,1305.0
72,190557,1998-05-20,Toys,TY2400,4,1306.0
73,190557,1998-05-20,Toys,TY3300,1,1307.0
74,228620,1998-10-29,Pets,PT2100,3,1308.0
75,228620,1998-10-29,Pets,PT2200,1,1309.0
76,228620,1998-10-29,Pets,PT3100,1,131.0
77,100376,2000-04-24,Pets,PT2100,1,1310.0
78,142332,2000-12-19,Toys,TY1100,2,1311.0
79,142332,2000-12-19,Toys,TY3200,2,1312.0
80,142332,2000-12-19,Toys,TY4200,1,1313.0
81,142332,2000-12-19,Toys,TY5300,1,1314.0
82,99643,1997-01-09,Gardening,GD3400,3,1315.0
83,106468,1997-02-27,Collectibles,CC1200,1,1316.0
84,137742,1997-08-18,Sports,SP3400,1,1317.0
85,155256,1997-11-19,Pets,PT2200,3,1318.0
86,159666,1997-12-12,Toys,TY3800,1,1319.0
87,163044,1997-12-30,Pets,PT3200,2,132.0
88,184049,1998-04-21,Pets,PT2000,1,1320.0
89,230510,1998-11-06,Gardening,GD1400,1,1321.0
90,234466,1998-11-23,Sports,SP1200,1,1322.0
91,234466,1998-11-23,Sports,SP2000,1,1323.0
92,234466,1998-11-23,Sports,SP2300,1,1324.0
93,234466,1998-11-23,Sports,SP2700,2,1325.0
94,239179,1998-12-13,Pets,PT2300,2,1326.0
95,155256,2001-02-26,Pets,PT2200,3,1327.0
96,159666,2001-03-21,Toys,TY3800,1,1328.0
97,163044,2001-04-08,Pets,PT3200,2,1329.0
98,106313,1997-02-26,Sports,SP3100,1,133.0
99,108795,1997-03-14,Software,SW2123,1,1330.0
100,135315,1997-08-05,Collectibles,CC2200,1,1331.0
101,153919,1997-11-12,Pets,PT4300,1,1332.0
102,165820,1998-01-17,Sports,SP1500,1,1333.0
103,168450,1998-02-02,Pets,PT2400,1,1334.0
104,175728,1998-03-13,Sports,SP1300,4,1335.0
105,243349,1998-03-28,Pets,PT3100,1,1336.0
106,184269,1998-04-22,Gardening,GD1100,1,1337.0
107,191908,1998-05-26,Software,SW5338,1,1338.0
108,195651,1998-06-11,Gardening,GD1001,1,1339.0
109,207342,1998-07-31,Toys,TY1900,2,134.0
110,207342,1998-07-31,Toys,TY3100,1,1340.0
111,207342,1998-07-31,Toys,TY3500,2,1341.0
112,217071,1998-09-10,Collectibles,CC2400,4,1342.0
113,237054,1998-12-04,Pets,PT4300,4,1343.0
114,106313,2000-06-05,Sports,SP3100,1,1344.0
115,108795,2000-06-21,Software,SW2123,1,1345.0
116,135315,2000-11-12,Collectibles,CC2200,1,1346.0
117,153919,2001-02-19,Pets,PT4300,1,1347.0
118,165820,2001-04-26,Sports,SP1500,1,1348.0
119,168450,2001-05-12,Pets,PT2400,1,1349.0
120,124051,1997-06-07,Pets,PT1400,1,135.0
121,124051,1997-06-07,Pets,PT2200,1,1350.0
122,124051,1997-06-07,Pets,PT3100,1,1351.0
123,124814,1997-06-11,Software,SW3895,3,1352.0
124,139856,1997-08-29,Toys,TY4400,1,1353
125,183082,1998-04-17,Sports,SP2700,1,1354.0
126,196370,1998-06-14,Gardening,GD1500,1,1355.0
127,206396,1998-07-27,Sports,SP2400,1,1356.0
128,220145,1998-09-23,Pets,PT1200,1,1357.0
129,223035,1998-10-05,Sports,SP2500,1,1358.0
130,229811,1998-11-03,Pets,PT4200,1,1359.0
131,233331,1998-11-18,Toys,TY1100,1,136.0
132,124051,2000-09-14,Pets,PT1400,1,1360.0
133,124051,2000-09-14,Pets,PT2200,1,1361.0
134,124051,2000-09-14,Pets,PT3100,1,1362.0
135,124814,2000-09-18,Software,SW3895,3,1363.0
136,139856,2000-12-06,Toys,TY4400,1,1364.0
137,139658,1997-08-28,Toys,TY1700,4,1365.0
138,173209,1998-02-28,Sports,SP3400,1,1366.0
139,175132,1998-03-10,Pets,PT3500,1,1367.0
140,189145,1998-05-14,Gardening,GD1400,1,1368.0
141,194930,1998-06-08,Toys,TY1750,1,1369.0
142,194930,1998-06-08,Toys,TY1750,2,137.0
143,194930,1998-06-08,Toys,TY3800,1,1370.0
144,194930,1998-06-08,Toys,TY4100,2,1371.0
145,195397,1998-06-10,Sports,SP2000,1,1372.0
146,195397,1998-06-10,Sports,SP2000,4,1373.0
147,195397,1998-06-10,Sports,SP2400,3,1374.0
148,202947,1998-07-12,Pets,PT3100,1,1375.0
149,203167,1998-07-13,Sports,SP3400,4,1376.0
150,234924,1998-11-25,Software,SW8376,1,1377.0
151,139658,2000-12-05,Toys,TY1700,4,1378.0
152,121082,1997-05-22,Sports,SP2400,1,1379.0
153,132255,1997-07-20,Pets,PT3100,1,138.0
154,140829,1997-09-03,Software,SW2123,1,1380.0
155,173210,1998-02-28,Sports,SP2700,4,1381.0
156,192165,1998-05-27,Software,SW7585,1,1382.0
157,197088,1998-06-17,Gardening,GD2100,2,1383.0
158,207785,1998-08-02,Sports,SP2400,1,1384.0
159,237791,1998-12-07,Pets,PT1000,1,1385.0
160,237791,1998-12-07,Pets,PT2400,1,1386.0
161,237791,1998-12-07,Pets,PT3200,1,1387.0
162,237791,1998-12-07,Pets,PT4200,1,1388.0
163,238016,1998-12-08,Pets,PT2400,1,1389.0
164,238016,1998-12-08,Pets,PT3500,1,139.0
165,238016,1998-12-08,Pets,PT4300,3,1390.0
166,140829,2000-12-11,Software,SW2123,1,1391.0
167,136667,1997-08-12,Toys,TY2400,1,1392.0
168,136667,1997-08-12,Toys,TY3700,1,1393.0
169,136667,1997-08-12,Toys,TY4600,1,1394.0
170,136667,1997-08-12,Toys,TY5100,4,1395.0
171,139067,1997-08-25,Toys,TY5400,3,1396.0
172,141782,1997-09-08,Collectibles,CC3400,2,1397.0
173,145415,1997-09-27,Pets,PT2100,1,1398.0
174,146158,1997-10-01,Pets,PT4500,1,1399.0
175,158712,1997-12-07,Sports,SP2600,1,14.0
176,159270,1997-12-10,Toys,TY5300,1,140.0
177,163238,1997-12-31,Collectibles,CC4300,3,1400.0
178,172258,1998-02-23,Toys,TY1600,1,1401.0
179,185573,1998-04-28,Collectibles,CC3400,1,1402.0
180,186021,1998-04-30,Toys,TY1300,1,1403.0
181,186021,1998-04-30,Toys,TY1500,1,1404.0
182,186021,1998-04-30,Toys,TY3500,1,1405.0
183,217533,1998-09-12,Toys,TY4200,1,1406.0
184,220388,1998-09-24,Software,SW1207,1,1407.0
185,234048,1998-11-21,Sports,SP1600,1,1408.0
186,136667,2000-11-19,Toys,TY2400,1,1409.0
187,136667,2000-11-19,Toys,TY3700,1,141.0
188,136667,2000-11-19,Toys,TY4600,1,1410.0
189,136667,2000-11-19,Toys,TY5100,4,1411.0
190,139067,2000-12-02,Toys,TY5400,3,1412.0
191,141782,2000-12-16,Collectibles,CC3400,2,1413.0
192,145415,2001-01-04,Pets,PT2100,1,1414.0
193,146158,2001-01-08,Pets,PT4500,1,1415.0
194,158712,2001-03-16,Sports,SP2600,1,1416.0
195,159270,2001-03-19,Toys,TY5300,1,1417.0
196,163238,2001-04-09,Collectibles,CC4300,3,1418.0
197,99756,1997-01-10,Pets,PT1100,3,1419.0
198,99756,1997-01-10,Pets,PT3100,1,142.0
199,99756,1997-01-10,Pets,PT3500,3,1420.0
200,130740,1997-07-12,Software,SW1828,1,1421.0
201,134932,1997-08-03,Gardening,GD3100,3,1422.0
202,141783,1997-09-08,Sports,SP1000,1,1423.0
203,141783,1997-09-08,Sports,SP1300,1,1424.0
204,141783,1997-09-08,Sports,SP2300,4,1425.0
205,149271,1997-10-18,Toys,TY3800,1,1426.0
206,152304,1997-11-03,Toys,TY3700,1,1427.0
207,156806,1997-11-27,Sports,SP2200,1,1428.0
208,161595,1997-12-22,Software,SW7221,4,1429.0
209,212564,1998-08-22,Sports,SP1100,4,143.0
210,212564,1998-08-22,Sports,SP1300,1,1430.0
211,212564,1998-08-22,Sports,SP3100,1,1431.0
212,212564,1998-08-22,Sports,SP3300,3,1432.0
213,213061,1998-08-24,Sports,SP1000,4,1433.0
214,213061,1998-08-24,Sports,SP3100,1,1434.0
215,99756,2000-04-19,Pets,PT1100,3,1435.0
216,99756,2000-04-19,Pets,PT3100,1,1436.0
217,99756,2000-04-19,Pets,PT3500,3,1437.0
218,130740,2000-10-19,Software,SW1828,1,1438.0
219,134932,2000-11-10,Gardening,GD3100,3,1439.0
220,141783,2000-12-16,Sports,SP1000,1,144.0
221,141783,2000-12-16,Sports,SP1300,1,1440.0
222,141783,2000-12-16,Sports,SP2300,4,1441.0
223,149271,2001-01-25,Toys,TY3800,1,1442.0
224,152304,2001-02-10,Toys,TY3700,1,1443.0
225,156806,2001-03-06,Sports,SP2200,1,1444.0
226,161595,2001-03-31,Software,SW7221,4,1445.0
227,126004,1997-06-17,Toys,TY1950,1,1446.0
228,126004,1997-06-17,Toys,TY4600,3,1447.0
229,126004,1997-06-17,Toys,TY5300,1,1448.0
230,129631,1997-07-06,Pets,PT4500,2,1449.0
231,142730,1997-09-13,Gardening,GD2200,1,145.0
232,142730,1997-09-13,Gardening,GD2400,1,1450.0
233,142730,1997-09-13,Gardening,GD3200,1,1451.0
234,142730,1997-09-13,Gardening,GD4100,1,1452.0
235,147805,1997-10-10,Pets,PT3100,1,1453.0
236,147805,1997-10-10,Pets,PT4100,1,1454.0
237,147805,1997-10-10,Pets,PT4600,4,1455.0
238,147805,1997-10-10,Pets,PT4600,1,1456.0
239,198963,1998-06-25,Sports,SP2400,4,1457.0
240,229595,1998-11-02,Pets,PT2100,1,1458.0
241,233338,1998-11-18,Collectibles,CC4100,1,1459.0
242,237797,1998-12-07,Pets,PT4100,2,146.0
243,126004,2000-09-24,Toys,TY1950,1,1460.0
244,126004,2000-09-24,Toys,TY4600,3,1461.0
245,126004,2000-09-24,Toys,TY5300,1,1462.0
246,129631,2000-10-13,Pets,PT4500,2,1463.0
247,147805,2001-01-17,Pets,PT3100,1,1464.0
248,147805,2001-01-17,Pets,PT4100,1,1465.0
249,147805,2001-01-17,Pets,PT4600,4,1466.0
250,147805,2001-01-17,Pets,PT4600,1,1467.0
251,116399,1997-04-27,Gardening,GD3200,1,1468.0
252,152307,1997-11-03,Toys,TY3400,4,1469.0
253,211399,1998-08-17,Sports,SP2300,1,147.0
254,211635,1998-08-18,Software,SW2181,4,1470.0
255,211635,1998-08-18,Software,SW3545,1,1471.0
256,211635,1998-08-18,Software,SW5952,4,1472.0
257,213064,1998-08-24,Toys,TY2400,1,1473.0
258,231459,1998-11-10,Sports,SP2600,1,1474.0
259,116399,2000-08-04,Gardening,GD3200,1,1475.0
260,152307,2001-02-10,Toys,TY3400,4,1476.0
261,113748,1997-04-12,Pets,PT4300,1,1477.0
262,137757,1997-08-18,Toys,TY4600,1,1478.0
263,147434,1997-10-08,Pets,PT1400,4,1479.0
264,153927,1997-11-12,Toys,TY4200,1,148.0
265,230993,1998-11-08,Sports,SP1300,1,1480.0
266,230993,1998-11-08,Sports,SP1400,3,1481.0
267,236105,1998-11-30,Pets,PT1200,1,1482.0
268,241923,1998-12-25,Software,SW7385,1,1483.0
269,113748,2000-07-20,Pets,PT4300,1,1484.0
270,137757,2000-11-25,Toys,TY4600,1,1485.0
271,147434,2001-01-15,Pets,PT1400,4,1486.0
272,153927,2001-02-19,Toys,TY4200,1,1487.0
273,105518,1997-02-21,Pets,PT1300,4,1488.0
274,143136,1997-09-15,Sports,SP1400,1,1489.0
275,143136,1997-09-15,Sports,SP2500,2,149.0
276,143136,1997-09-15,Sports,SP2600,3,1490.0
277,148359,1997-10-13,Pets,PT2100,1,1491.0
278,150618,1997-10-25,Gardening,GD1500,1,1492.0
279,150618,1997-10-25,Gardening,GD3000,3,1493.0
280,150618,1997-10-25,Gardening,GD3200,2,1494.0
281,168649,1998-02-03,Gardening,GD1100,1,1495.0
282,187576,1998-05-07,Toys,TY1200,3,1496.0
283,187576,1998-05-07,Toys,TY1850,1,1497.0
284,187576,1998-05-07,Toys,TY2300,4,1498.0
285,187576,1998-05-07,Toys,TY3800,1,1499.0
286,209481,1998-08-09,Pets,PT2200,1,15.0
287,209481,1998-08-09,Pets,PT2300,1,150.0
288,209481,1998-08-09,Pets,PT3200,1,1500.0
289,209481,1998-08-09,Pets,PT3200,3,1501.0
290,218965,1998-09-18,Gardening,GD2200,1,1502.0
291,223524,1998-10-07,Gardening,GD4100,1,1503.0
292,225348,1998-10-15,Toys,TY4200,1,1504.0
293,239627,1998-12-15,Pets,PT4600,1,1505.0
294,105518,2000-05-31,Pets,PT1300,4,1506.0
295,148359,2001-01-20,Pets,PT2100,1,1507.0
296,110993,1997-03-27,Sports,SP1200,1,1508.0
297,130222,1997-07-09,Toys,TY4200,1,1509.0
298,158917,1997-12-08,Collectibles,CC2200,3,151.0
299,163533,1998-01-02,Sports,SP1000,1,1510.0
300,179408,1998-03-31,Software,SW1005,3,1511.0
301,179408,1998-03-31,Software,SW7013,1,1512.0
302,179408,1998-03-31,Software,SW7573,1,1513.0
303,179408,1998-03-31,Software,SW9604,1,1514.0
304,180934,1998-04-07,Collectibles,CC1500,4,1515.0
305,182262,1998-04-13,Gardening,GD1400,1,1516.0
306,198049,1998-06-21,Sports,SP2000,3,1517.0
307,198049,1998-06-21,Sports,SP2400,1,1518.0
308,198049,1998-06-21,Sports,SP2500,1,1519.0
309,219453,1998-09-20,Toys,TY1700,1,152.0
310,230301,1998-11-05,Toys,TY5200,1,1520.0
311,238030,1998-12-08,Sports,SP2200,1,1521.0
312,241924,1998-12-25,Sports,SP1300,2,1522.0
313,241924,1998-12-25,Sports,SP3300,2,1523.0
314,241924,1998-12-25,Sports,SP3400,1,1524.0
315,110993,2000-07-04,Sports,SP1200,1,1525.0
316,130222,2000-10-16,Toys,TY4200,1,1526.0
317,158917,2001-03-17,Collectibles,CC2200,3,1527.0
318,163533,2001-04-11,Sports,SP1000,1,1528.0
319,122589,1997-05-30,Pets,PT3100,3,1529.0
320,122777,1997-05-31,Sports,SP1300,1,153.0
321,143138,1997-09-15,Pets,PT4400,1,1530.0
322,166327,1998-01-20,Pets,PT3200,2,1531.0
323,209214,1998-08-08,Sports,SP3100,1,1532.0
324,221809,1998-09-30,Toys,TY3400,1,1533.0
325,223296,1998-10-06,Pets,PT3100,4,1534.0
326,122589,2000-09-06,Pets,PT3100,3,1535.0
327,122777,2000-09-07,Sports,SP1300,1,1536.0
328,143138,2000-12-23,Pets,PT4400,1,1537.0
329,166327,2001-04-29,Pets,PT3200,2,1538.0
330,102109,1997-01-28,Pets,PT4300,1,1539.0
331,113750,1997-04-12,Sports,SP2500,3,154.0
332,121462,1997-05-24,Software,SW1207,1,1540.0
333,121462,1997-05-24,Software,SW2147,1,1541.0
334,121462,1997-05-24,Software,SW5493,1,1542.0
335,131671,1997-07-17,Sports,SP1500,1,1543.0
336,131671,1997-07-17,Sports,SP2000,2,1544.0
337,131671,1997-07-17,Sports,SP2500,1,1545.0
338,131671,1997-07-17,Sports,SP2700,1,1546.0
339,131869,1997-07-18,Pets,PT4100,1,1547.0
340,132081,1997-07-19,Gardening,GD2000,2,1548.0
341,132081,1997-07-19,Gardening,GD2000,1,1549.0
342,132081,1997-07-19,Gardening,GD3100,1,155.0
343,132081,1997-07-19,Gardening,GD3400,2,1550.0
344,169362,1998-02-07,Software,SW4187,1,1551.0
345,169362,1998-02-07,Software,SW5952,4,1552.0
346,169362,1998-02-07,Software,SW6269,1,1553.0
347,169362,1998-02-07,Software,SW7935,1,1554.0
348,176756,1998-03-18,Sports,SP2700,1,1555.0
349,177337,1998-03-21,Sports,SP1000,1,1556.0
350,193092,1998-05-31,Toys,TY3700,1,1557.0
351,197104,1998-06-17,Pets,PT4200,1,1558.0
352,235407,1998-11-27,Pets,PT3500,1,1559.0
353,102109,2000-05-07,Pets,PT4300,1,156.0
354,121462,2000-08-31,Software,SW1207,1,1560.0
355,121462,2000-08-31,Software,SW2147,1,1561.0
356,121462,2000-08-31,Software,SW5493,1,1562.0
357,131869,2000-10-25,Pets,PT4100,1,1563.0
358,132081,2000-10-26,Gardening,GD2000,2,1564.0
359,132081,2000-10-26,Gardening,GD2000,1,1565.0
360,132081,2000-10-26,Gardening,GD3100,1,1566.0
361,132081,2000-10-26,Gardening,GD3400,2,1567.0
362,169362,2001-05-17,Software,SW4187,1,1568.0
363,169362,2001-05-17,Software,SW5952,4,1569.0
364,169362,2001-05-17,Software,SW6269,1,157.0
365,169362,2001-05-17,Software,SW7935,1,1570.0
366,99998,1997-01-12,Toys,TY2600,1,1571.0
367,129834,1997-07-07,Pets,PT1300,1,1572.0
368,129834,1997-07-07,Pets,PT1400,4,1573.0
369,129834,1997-07-07,Pets,PT2200,3,1574.0
370,130227,1997-07-09,Pets,PT2400,1,1575.0
371,135894,1997-08-08,Pets,PT4400,1,1576.0
372,148918,1997-10-16,Sports,SP2600,2,1577.0
373,180063,1998-04-03,Toys,TY3200,1,1578.0
374,182267,1998-04-13,Gardening,GD4100,3,1579.0
375,184930,1998-04-25,Toys,TY2500,4,158.0
376,197353,1998-06-18,Pets,PT1100,1,1580.0
377,204316,1998-07-18,Software,SW2147,3,1581.0
378,204316,1998-07-18,Software,SW5338,1,1582.0
379,204316,1998-07-18,Software,SW7385,1,1583.0
380,204316,1998-07-18,Software,SW9521,3,1584.0
381,218730,1998-09-17,Pets,PT1000,1,1585.0
382,218730,1998-09-17,Pets,PT1400,1,1586.0
383,218730,1998-09-17,Pets,PT2400,4,1587.0
384,218730,1998-09-17,Pets,PT3300,1,1588.0
385,237332,1998-12-05,Software,SW6352,1,1589.0
386,237332,1998-12-05,Software,SW6531,4,159.0
387,237332,1998-12-05,Software,SW7823,1,1590.0
388,99998,2000-04-21,Toys,TY2600,1,1591.0
389,129834,2000-10-14,Pets,PT1300,1,1592.0
390,129834,2000-10-14,Pets,PT1400,4,1593.0
391,129834,2000-10-14,Pets,PT2200,3,1594.0
392,130227,2000-10-16,Pets,PT2400,1,1595.0
393,135894,2000-11-15,Pets,PT4400,1,1596.0
394,148918,2001-01-23,Sports,SP2600,2,1597.0
395,115478,1997-04-22,Sports,SP1200,1,1598.0
396,159478,1997-12-11,Sports,SP2300,1,1599.0
397,167813,1998-01-29,Software,SW4792,2,16.0
398,187346,1998-05-06,Sports,SP2700,1,160.0
399,197108,1998-06-17,Sports,SP1500,1,1600.0
400,203183,1998-07-13,Pets,PT1200,4,1601.0
401,203183,1998-07-13,Pets,PT3200,1,1602.0
402,203183,1998-07-13,Pets,PT4400,1,1603.0
403,203183,1998-07-13,Pets,PT4600,1,1604.0
404,216861,1998-09-09,Pets,PT2000,1,1605.0
405,216861,1998-09-09,Pets,PT2400,4,1606.0
406,216861,1998-09-09,Pets,PT3300,1,1607.0
407,234271,1998-11-22,Software,SW4773,1,1608.0
408,242593,1998-12-28,Toys,TY1200,1,1609.0
409,115478,2000-07-30,Sports,SP1200,1,161.0
410,159478,2001-03-20,Sports,SP2300,1,1610.0
411,167813,2001-05-08,Software,SW4792,1,1611.0
412,105195,1997-02-19,Pets,PT4300,2,1612.0
413,126013,1997-06-17,Sports,SP3300,1,1613.0
414,129637,1997-07-06,Sports,SP1000,4,1614.0
415,129637,1997-07-06,Sports,SP1300,1,1615.0
416,129637,1997-07-06,Sports,SP2000,4,1616.0
417,129637,1997-07-06,Sports,SP3400,3,1617.0
418,130398,1997-07-10,Collectibles,CC4200,1,1618.0
419,143734,1997-09-18,Pets,PT4200,1,1619.0
420,146746,1997-10-04,Pets,PT4500,1,162.0
421,183350,1998-04-18,Gardening,GD1400,1,1620.0
422,183350,1998-04-18,Gardening,GD1500,1,1621.0
423,183350,1998-04-18,Gardening,GD2100,3,1622.0
424,183350,1998-04-18,Gardening,GD3400,1,1623.0
425,184734,1998-04-24,Pets,PT4400,1,1624.0
426,186491,1998-05-02,Pets,PT2200,1,1625.0
427,196610,1998-06-15,Sports,SP2000,1,1626.0
428,196610,1998-06-15,Sports,SP2300,3,1627.0
429,196610,1998-06-15,Sports,SP3100,3,1628.0
430,203861,1998-07-16,Toys,TY1750,1,1629.0
431,205481,1998-07-23,Sports,SP2000,1,163.0
432,105195,2000-05-29,Pets,PT4300,2,1630.0
433,126013,2000-09-24,Sports,SP3300,1,1631.0
434,129637,2000-10-13,Sports,SP1000,4,1632.0
435,129637,2000-10-13,Sports,SP1300,1,1633.0
436,129637,2000-10-13,Sports,SP2000,4,1634.0
437,129637,2000-10-13,Sports,SP3400,3,1635.0
438,130398,2000-10-17,Collectibles,CC4200,1,1636.0
439,143734,2000-12-26,Pets,PT4200,1,1637.0
440,146746,2001-01-11,Pets,PT4500,1,1638.0
441,100784,1997-01-18,Sports,SP2700,1,1639.0
442,113757,1997-04-12,Toys,TY1950,3,164.0
443,124646,1997-06-10,Sports,SP3400,1,1640.0
444,124829,1997-06-11,Gardening,GD2200,1,1641.0
445,135138,1997-08-04,Gardening,GD1500,1,1642.0
446,150217,1997-10-23,Pets,PT3300,2,1643.0
447,150217,1997-10-23,Pets,PT3500,2,1644.0
448,150217,1997-10-23,Pets,PT4100,1,1645.0
449,150217,1997-10-23,Pets,PT4400,3,1646.0
450,160439,1997-12-16,Toys,TY5400,3,1647.0
451,176966,1998-03-19,Sports,SP1400,4,1648.0
452,177343,1998-03-21,Sports,SP1600,1,1649.0
453,182271,1998-04-13,Pets,PT4100,1,165.0
454,186037,1998-04-30,Gardening,GD2200,1,1650.0
455,196875,1998-06-16,Toys,TY5200,1,1651.0
456,224696,1998-10-12,Pets,PT1300,1,1652.0
457,224696,1998-10-12,Pets,PT1400,1,1653.0
458,224696,1998-10-12,Pets,PT3100,1,1654.0
459,224696,1998-10-12,Pets,PT3500,1,1655.0
460,230059,1998-11-04,Software,SW7935,1,1656.0
461,100784,2000-04-27,Sports,SP2700,1,1657.0
462,113757,2000-07-20,Toys,TY1950,3,1658.0
463,124646,2000-09-17,Sports,SP3400,1,1659.0
464,124829,2000-09-18,Gardening,GD2200,1,166.0
465,135138,2000-11-11,Gardening,GD1500,1,1660.0
466,150217,2001-01-30,Pets,PT3300,2,1661.0
467,150217,2001-01-30,Pets,PT3500,2,1662.0
468,150217,2001-01-30,Pets,PT4100,1,1663.0
469,150217,2001-01-30,Pets,PT4400,3,1664.0
470,160439,2001-03-25,Toys,TY5400,3,1665.0
471,127055,1997-06-23,Toys,TY1800,1,1666.0
472,145974,1997-09-30,Pets,PT1200,1,1667.0
473,151400,1997-10-29,Sports,SP2400,3,1668.0
474,157967,1997-12-03,Gardening,GD1100,4,1669.0
475,171198,1998-02-17,Sports,SP2200,1,167.0
476,182688,1998-04-15,Sports,SP1500,1,1670.0
477,184078,1998-04-21,Sports,SP1200,3,1671.0
478,184078,1998-04-21,Sports,SP3000,1,1672.0
479,184078,1998-04-21,Sports,SP3200,1,1673.0
480,188498,1998-05-11,Gardening,GD1500,1,1674.0
481,195176,1998-06-09,Toys,TY3700,3,1675.0
482,198750,1998-06-24,Toys,TY2400,1,1676.0
483,206413,1998-07-27,Software,SW7935,1,1677.0
484,207364,1998-07-31,Pets,PT1300,2,1678.0
485,207364,1998-07-31,Pets,PT2000,1,1679.0
486,207364,1998-07-31,Pets,PT2300,1,168.0
487,207364,1998-07-31,Pets,PT4200,1,1680.0
488,127055,2000-09-30,Toys,TY1800,1,1681.0
489,145974,2001-01-07,Pets,PT1200,1,1682.0
490,151400,2001-02-05,Sports,SP2400,3,1683.0
491,157967,2001-03-12,Gardening,GD1100,4,1684.0
492,171198,2001-05-27,Sports,SP2200,1,1685.0
493,122960,1997-06-01,Toys,TY1300,2,1686.0
494,122960,1997-06-01,Toys,TY2100,1,1687.0
495,122960,1997-06-01,Toys,TY2700,1,1688.0
496,122960,1997-06-01,Toys,TY4100,1,1689.0
497,124470,1997-06-09,Pets,PT4500,1,169.0
498,128060,1997-06-28,Sports,SP3300,1,1690.0
