ID,TYPE,DESCRIP,PRICE,COST,PCODE,SUPPLIER
65,Hand Tools,Trowel,14.0,7.0,GD1300,"Lands Alive, Inc."
66,Hand Tools,Edger,32.0,20.0,GD1400,Yard Machines
67,Hand Tools,Hand Spade,10.0,4.0,GD1500,Lands Alive!
68,Hand Tools,Hand Claw,10.0,4.0,GD1600,Lands Alive!
69,Bulbs,Tulips,14.0,6.0,GD2000,"Flowers, Etc."
70,Power Tools,Lawn Mover,350.0,150.0,GD3000,Snipper
71,Power Tools,Weed Eater,78.0,45.0,GD3100,"Snipper, Inc."
72,Power Tools,Leaf Blower,84.0,36.0,GD3200,Snipper
73,Power Tools,Chain Saw,160.0,100.0,GD3300,Snipper Incorporated
74,Power Tools,Tiller,450.0,200.0,GD3400,Yard Machines
75,Bulbs,Iris,14.0,6.0,GD2100,"Flowers, Etc."
76,Bulbs,Crocis,14.0,6.0,GD2200,"Flowers, Etc."
77,Bulbs,Daffidills,14.0,6.0,GD2300,"Flowers, Etc."
78,Bulbs,Hybiscus,16.0,7.0,GD2400,"Flowers, Etc."
79,Seeds,Carrots,5.0,1.0,GD4000,"Veggies, Inc."
80,Seeds,Radishes,3.0,1.0,GD4100,"Veggies, Inc."
81,Seeds,Lettuce,3.0,1.0,GD4200,"Veggies, Inc."
82,Seeds,Tomatoes,3.0,1.5,GD4300,"Veggies, Inc."
83,Seeds,Cucumbers,3.0,1.0,GD4400,"Veggies, Inc."
84,Team,Foot Ball,26.0,13.0,SP1000,Champion Sporting Goods
85,Team,Base Ball,8.0,3.0,SP1100,Champion Sporting Goods
86,Team,Base Ball Glove,48.0,23.0,SP1200,Champion Sporting Goods
87,Team,Hockey Stick,23.0,12.0,SP1300,Champion Sporting Goods
88,Team,Basket Ball,34.0,16.0,SP1400,Champion Sporting Goods
89,Team,Field Hockey Stick,23.0,12.0,SP1500,Champion Sporting Goods
90,Team,Lacrosse Stick,28.0,12.0,SP1600,Champion Sporting Goods
91,Recreational,Snow Skis,320.0,160.0,SP2000,"Winter Sports, Inc."
92,Camping,Tent,140.0,60.0,SP3000,RCI
93,Recreational,Roller Blades,120.0,70.0,SP2200,Champion Sporting Goods
94,Recreational,Bicycle,480.0,200.0,SP2300,All-American Bicycles
95,Recreational,Water Skis,130.0,56.0,SP2400,Aqua Sports Company
96,Recreational,Golf Clubs,600.0,250.0,SP2500,Champion Sporting Goods
97,Recreational,Tennis Racket,83.0,35.0,SP2600,Champion Sporting Goods
98,Recreational,Squash Racket,43.0,18.0,SP2700,Champion Sporting Goods
99,Camping,Back Pack,180.0,98.0,SP3100,Champion Sporting Goods Inc.
100,Camping,Hiking Boots,120.0,80.0,SP3200,RCI
101,Camping,Compass,21.0,6.0,SP3300,R.C.I.
102,Camping,Knife,32.0,15.0,SP3400,RCI
103,Camping,Lantern,43.0,21.0,SP3500,RCI
104,Dog,Bowl,7.0,2.0,PT1000,"Luv-Yur-Pet, Inc."
105,Dog,Blanket,14.0,4.0,PT1100,Luv-Yur-Pet
106,Dog,Food,16.0,4.0,PT1200,Gates Supply Company
107,Dog,Toy,8.0,3.0,PT1300,Luv-Yur-Pet
108,Dog,Collar,12.0,5.0,PT1400,Luv-Yur-Pet
109,Cat,Collar,12.0,5.0,PT2000,"Luv-Yur-Pet, Inc."
110,Cat,Bowl,7.0,2.0,PT2100,Luv-Yur-Pet
111,Cat,Toy,8.0,3.0,PT2200,Luv-Yur-Pet
112,Cat,Bed,32.0,14.0,PT2300,Pet Furnishings
113,Cat,Litter Box,14.0,6.0,PT2400,"Luv-Yur-Pet, Inc."
114,Bird,Cage,54.0,34.0,PT3100,Pet Furnishings
115,Bird,Food,12.0,3.0,PT3200,Gates Supply Company
116,Bird,Water Dish,4.0,1.0,PT3300,Luv-Yur-Pet
117,Bird,Toy,6.0,2.5,PT3400,Luv-Yur-Pet
118,Bird,Cage Cover,12.0,8.0,PT3500,Pet Furnishings
119,Fish,Aquarium,52.0,20.0,PT4100,Aquariums Alive
120,Fish,Food,6.0,2.5,PT4200,Gates Supply Company
121,Fish,Ornament,12.0,5.0,PT4300,Aquariums Alive
122,Fish,Heater,12.0,4.0,PT4400,Aquariums Alive
123,Fish,Pump,34.0,14.0,PT4500,Aquariums Alive
124,Fish,Filter,18.0,8.0,PT4600,"Aquariums Alive, Inc."
125,Fish,Net,4.0,1.0,PT4700,Aquariums Alive
126,Heads,Farmer,56.0,34.0,CC1100,Figurines
127,Heads,Soldier,56.0,34.0,CC1200,Figurines
128,Heads,Pilot,56.0,34.0,CC1300,Figurines
129,Heads,Nurse,56.0,34.0,CC1400,"Figurines, Inc."
130,Heads,Doctor,56.0,34.0,CC1500,Figurines
131,Figures,Fireman,87.0,43.0,CC2100,"Figurines, Inc."
132,Figures,Santa,87.0,43.0,CC2200,Seasons
133,Figures,Policeman,87.0,43.0,CC2300,Figurines
134,Figures,Ice Skater,87.0,43.0,CC2400,Seasons
135,Figures,Football Player,87.0,43.0,CC2500,Figurines
136,Figures,Baseball Player,87.0,43.0,CC2600,Figurines
137,Plates,Sound of Music,35.0,17.0,CC3100,Trinkets and Things
138,Plates,Wizard of Oz,35.0,17.0,CC3200,Trinkets n' Things
139,Plates,Norman Rockwell,35.0,17.0,CC3300,Trinkets n' Things
140,Plates,Beatles,35.0,17.0,CC3400,Trinkets n' Things
141,Plates,Christmas,35.0,17.0,CC3500,Seasons
142,Plates,Elvis,35.0,17.0,CC3600,Trinkets n' Things
143,Plates,James Dean,35.0,17.0,CC3700,Trinkets n' Things
144,Animals,Dog,45.0,22.0,CC4100,Special Pets
145,Animals,Cat,45.0,22.0,CC4200,Special Pets
146,Animals,Horse,45.0,22.0,CC4300,Special Pets
147,Animals,Bear,45.0,22.0,CC4400,Wilderness Life
148,Animals,Camel,45.0,22.0,CC4500,Wilderness Life
149,Animals,Deer,45.0,22.0,CC4600,Wilderness Life
150,Animals,Turkey,45.0,22.0,CC4700,Farm Life
151,Animals,Goat,45.0,22.0,CC4800,Farm Life
152,Animals,Cow,45.0,22.0,CC4900,Farm Life
153,Sporting Goods,Watermark,15.99,11.49,TY1100,Toyz
154,Sporting Goods,BB Shooter,27.59,18.34,TY1200,Toyz
155,Sporting Goods,Fake Jake,5.99,3.59,TY1300,Toyz
156,Sporting Goods,War Fighter,13.49,9.84,TY1400,"Toyz, Inc."
157,Sporting Goods,Football Pro,19.99,13.21,TY1500,Toyz
158,Sporting Goods,Baseball Jr.,13.49,8.07,TY1600,Toyz
159,Sporting Goods,T-Ball Set,27.98,21.44,TY1700,Toyz
160,Sporting Goods,Basketball,38.99,30.02,TY1800,Toyz
161,Sporting Goods,Tricycle,128.97,113.37,TY1950,All-American Bicycles
162,Sporting Goods,Rollerblades,56.97,44.97,TY1850,"Champion Sporting Goods, Inc."
163,Sporting Goods,Rollerskates,37.69,31.29,TY1750,"Champion Sporting Goods, Inc."
164,Sporting Goods,Skateboard,18.99,13.51,TY1650,"Champion Sporting Goods, Inc."
165,Play Mates,Crawly Molly,32.29,23.39,TY2100,Toyz
166,Play Mates,Dress-Up Girl,18.99,15.41,TY2200,Toyz
167,Play Mates,Cradle Kid,23.99,19.43,TY2300,Toyz
168,Play Mates,Teddy Bear,19.99,13.09,TY2400,Schwartz & Company
169,Play Mates,Monkey,14.89,11.49,TY2500,Schwartz & Co.
170,Play Mates,Puppy Dog,16.49,10.49,TY2600,Schwartz & Company
171,Play Mates,Kitty Cat,13.59,9.03,TY2700,Schwartz & Company
172,Child's World,My Own Kitchen,48.99,36.23,TY3100,Schwartz & Company
173,Child's World,Iron It,7.98,5.55,TY3200,Toyz
174,Child's World,My House,129.99,98.49,TY3300,Toyz
175,Child's World,Accessory Kit,23.97,18.29,TY3400,Toyz
176,Child's World,Gas Station,33.59,24.8,TY3500,Toyz
177,Child's World,Barn Yard,19.99,16.4,TY3600,Toyz
178,Child's World,Shopping Mall,38.99,26.4,TY3700,Toyz
179,Child's World,Train Set,79.99,63.19,TY3800,"Railroads, Etc."
180,Baby Toys,Silver Rattle,26.99,21.69,TY4100,Lil' Folks
181,Baby Toys,Cloth Rattle,7.98,6.78,TY4200,Lil' Folks
182,Baby Toys,Clown Rattle,12.99,8.49,TY4300,Lil' Folks
183,Baby Toys,ABC-123,13.99,9.19,TY4400,Lil' Folks
184,Baby Toys,Big Blocks,15.89,12.49,TY4500,"Lil' Folks, Co."
185,Baby Toys,Block Bucket,8.96,7.36,TY4600,Lil' Folks
186,Baby Toys,Snap Ems,14.98,11.52,TY4700,Lil' Folks
187,Baby Toys,Stackables,4.99,3.96,TY4800,Lil' Folks
188,Outdoor,Wading Pool,39.99,25.19,TY5100,Yard Fun
189,Outdoor,Animal Float,6.99,3.53,TY5200,Yard Fun
190,Outdoor,Jungle Gym,69.89,54.94,TY5300,Yard Fun
191,Outdoor,Rope Swing,13.59,9.24,TY5400,"Yard Fun, Inc."
192,Outdoor,Baby Swing,24.69,18.99,TY5500,Yard Fun
